track_id,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,type,valence,song_uri
6ZKpyGxfj4ufwSn9TRqFyW,0.526,0.982,2.37e-05,0.0714,-4.248,0.166,107.261,audio_features,0.171,spotify:track:6ZKpyGxfj4ufwSn9TRqFyW
2gP7Gh6r32NcihJpYTrPPn,0.485,0.849,0.000607,0.0943,-6.201,0.0452,134.991,audio_features,0.338,spotify:track:2gP7Gh6r32NcihJpYTrPPn
1Shy2dblk3aE2NSQ6nT3eo,0.599,0.689,0.0,0.381,-8.682,0.0347,107.041,audio_features,0.272,spotify:track:1Shy2dblk3aE2NSQ6nT3eo
5nv4oDgQa0JC6sQRSUrUfP,0.517,0.952,2.21e-06,0.111,-4.96,0.14,132.915,audio_features,0.434,spotify:track:5nv4oDgQa0JC6sQRSUrUfP
2KClt00ZiQSKzZYbZ3mfnI,0.197,0.911,0.0,0.191,-5.618,0.111,171.094,audio_features,0.387,spotify:track:2KClt00ZiQSKzZYbZ3mfnI
6W6GqsYPmQYglTxLBDOWc3,0.448,0.975,0.00169,0.373,-4.443,0.165,99.995,audio_features,0.0733,spotify:track:6W6GqsYPmQYglTxLBDOWc3
56ZhPx7pSYEyA3nnsYCt3Z,0.515,0.937,0.000694,0.233,-4.933,0.0578,101.317,audio_features,0.0766,spotify:track:56ZhPx7pSYEyA3nnsYCt3Z
4Cv5AAEit8MSIXtUmvN2iV,0.399,0.929,0.0019,0.107,-4.855,0.0944,108.854,audio_features,0.131,spotify:track:4Cv5AAEit8MSIXtUmvN2iV
4LTFmdfwQNAD2A45oDVAa6,0.442,0.945,0.0111,0.108,-5.041,0.127,134.993,audio_features,0.149,spotify:track:4LTFmdfwQNAD2A45oDVAa6
4rjlQbEbhyuQWfg03azEqk,0.475,0.821,0.0,0.0999,-6.49,0.0499,107.021,audio_features,0.198,spotify:track:4rjlQbEbhyuQWfg03azEqk
7tTx2R6nCKWM8nuQrGam14,0.293,0.957,0.0104,0.149,-5.425,0.257,101.263,audio_features,0.277,spotify:track:7tTx2R6nCKWM8nuQrGam14
0WlpJDgVMxcbGIkMI8C881,0.441,0.941,1.69e-06,0.345,-4.716,0.101,155.026,audio_features,0.333,spotify:track:0WlpJDgVMxcbGIkMI8C881
1fPfAhG2nskq3gDhh0Z5fT,0.226,0.56,0.865,0.198,-6.772,0.0326,126.021,audio_features,0.0682,spotify:track:1fPfAhG2nskq3gDhh0Z5fT
7u9L73MBWckZR6vM76liwK,0.243,0.947,0.000427,0.339,-5.09,0.121,112.963,audio_features,0.102,spotify:track:7u9L73MBWckZR6vM76liwK
2TipAy85MGsdUc4QgSrWjV,0.399,0.971,4.37e-05,0.229,-4.526,0.195,82.503,audio_features,0.255,spotify:track:2TipAy85MGsdUc4QgSrWjV
2mINksAe17rA8sECGoFIJS,0.471,0.963,0.00029,0.444,-4.148,0.153,132.984,audio_features,0.391,spotify:track:2mINksAe17rA8sECGoFIJS
12WsJpCgQSQIdGNhA8EAZo,0.526,0.949,3.67e-06,0.0499,-4.093,0.128,124.988,audio_features,0.498,spotify:track:12WsJpCgQSQIdGNhA8EAZo
56TAVh8vCa9ANFLmAr9Y8F,0.444,0.928,0.804,0.344,-6.072,0.0511,90.77,audio_features,0.36,spotify:track:56TAVh8vCa9ANFLmAr9Y8F
1pD4DUbQveBo8xt3nuZxa3,0.514,0.928,7.91e-05,0.107,-5.085,0.0779,113.027,audio_features,0.313,spotify:track:1pD4DUbQveBo8xt3nuZxa3
1TJgQ9tcvnthgjFAWvS55F,0.447,0.53,0.776,0.148,-7.73,0.0313,120.091,audio_features,0.235,spotify:track:1TJgQ9tcvnthgjFAWvS55F
2j3JNcBK6TkfzB0gcLSAka,0.523,0.944,1.78e-06,0.13,-4.756,0.0802,113.009,audio_features,0.19,spotify:track:2j3JNcBK6TkfzB0gcLSAka
00vLirvdCxpX4Dub4hohpc,0.476,0.963,0.00357,0.288,-2.719,0.0993,90.03,audio_features,0.52,spotify:track:00vLirvdCxpX4Dub4hohpc
2dZwQxentVZKW6wTbTYmBx,0.504,0.942,0.864,0.0621,-4.385,0.0729,106.99,audio_features,0.543,spotify:track:2dZwQxentVZKW6wTbTYmBx
2YwbcYXJoh5d8PSKgjTfur,0.594,0.974,9.45e-05,0.374,-2.684,0.123,135.069,audio_features,0.581,spotify:track:2YwbcYXJoh5d8PSKgjTfur
09hBJPu4USujRkQFoS8P77,0.524,0.964,0.786,0.37,-5.06,0.0782,124.012,audio_features,0.574,spotify:track:09hBJPu4USujRkQFoS8P77
0cfWGdtqUuHWyE9gKr7Ztz,0.446,0.929,2.05e-06,0.156,-2.926,0.0498,104.527,audio_features,0.132,spotify:track:0cfWGdtqUuHWyE9gKr7Ztz
4kE4uMcIrTXl55To2Q3kiG,0.274,0.864,0.000345,0.345,-6.902,0.0719,180.049,audio_features,0.139,spotify:track:4kE4uMcIrTXl55To2Q3kiG
1mcbjDMzRWVqI3YeiYdUrR,0.245,0.985,2.86e-06,0.631,-5.407,0.186,105.657,audio_features,0.0898,spotify:track:1mcbjDMzRWVqI3YeiYdUrR
0U1dtcHBUOuOJCW5LZf7J3,0.289,0.91,0.00815,0.204,-6.25,0.112,113.138,audio_features,0.228,spotify:track:0U1dtcHBUOuOJCW5LZf7J3
7DiIulg1VxGtPR3Nms3Vp2,0.441,0.957,1.22e-06,0.0998,-5.702,0.0527,93.352,audio_features,0.226,spotify:track:7DiIulg1VxGtPR3Nms3Vp2
